HomeCornersAvg,AwayCornersAvg,HomeYellowAvg,AwayYellowAvg,CornersOver9_5,CardsOver4_5
27,5.07,4.04,93,1,1
21,6.86,4.71,89,0,1
25,5.26,5.08,74,0,1
27,4.75,4.3,82,1,1
24,5.19,5.13,67,0,0
24,5.26,3.46,74,0,0
28,4.27,4.21,65,1,0
33,4.33,5.76,50,1,0
28,4.08,4.96,79,1,1
27,5.94,4.7,71,1,0
35,5.0,4.14,80,1,1
35,6.67,5.2,88,1,1
33,3.79,5.85,71,1,0
24,6.44,4.29,93,0,1
28,5.07,5.07,93,1,1
24,5.49,2.92,74,0,0
27,5.18,5.33,61,1,0
27,6.3,4.07,82,1,1
28,4.86,4.32,71,1,0
21,4.14,4.43,52,0,0
24,4.83,4.88,80,0,1
28,4.27,5.68,65,1,0
27,5.26,4.07,63,1,0
21,4.45,5.76,77,0,1
22,5.59,4.41,93,0,1
35,4.32,4.86,84,1,1
25,5.07,4.16,81,0,1
29,4.04,5.52,59,1,0
27,3.56,3.96,63,0,0
28,6.19,4.43,76,1,1
24,5.04,4.88,83,0,1
27,4.63,5.48,79,1,1
33,4.04,5.33,64,1,0
25,4.89,3.68,75,0,1
28,5.0,5.71,73,1,1
25,4.42,4.4,76,0,1
28,4.66,4.32,83,1,1
24,4.18,4.13,68,0,0
33,5.0,4.15,75,1,1
35,4.54,5.03,54,1,0
